horizon_days,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
21,26,0.9295890410958879,0.7955152782618798,6847,8477.0,9.782702702702704,9.782502614151273,0.03276402927849425,8607,8325,8607,282,0,964,514,0,0.8773584905660378,0.6830344827586207,0.1943240078074171
21,27,0.9368493150684912,0.7996079787847342,6935,8552.0,10.035879767137935,10.042199930819786,0.029516891502363658,8673,8417,8673,256,0,1022,460,0,0.8820624259186093,0.68402104680144,0.19804137911716924
21,28,0.9360273972602724,0.7910295616717635,6984,8510.0,10.810025767158585,10.839279646619095,0.03295956506965681,8829,8538,8829,291,0,1087,467,0,0.8811229428848015,0.664028384279476,0.21709455860532556
21,29,0.9308219178082161,0.7815688052595783,6895,8463.0,10.706833899894502,10.729426433915211,0.03298571752437089,8822,8531,8822,291,0,1121,515,0,0.8731270675228644,0.653814824871029,0.21931224265183535
21,30,0.9368493150684903,0.7941580756013745,6933,8532.0,10.76761725194438,10.770561282932418,0.027949599083619703,8730,8486,8730,244,0,1087,466,0,0.8766640563821456,0.6778023191606847,0.19886173722146094
28,1,0.9380821917808199,0.786024702653248,6873,8512.0,10.985064095025285,10.986505032021958,0.027561756633119855,8744,8503,8744,241,0,1161,469,0,0.8758442590385379,0.6641509433962264,0.21169331564231153
28,2,0.9379452054794499,0.795016077170418,6923,8524.0,10.742440412664532,10.750114836931557,0.03158015617822692,8708,8433,8708,275,0,1047,463,0,0.883054892601432,0.6747282608695652,0.20832663173186683
28,3,0.9342465753424628,0.7952836637047164,6981,8494.0,10.206197714151054,10.230690362269309,0.03315105946684894,8778,8487,8778,291,0,1011,495,0,0.8903465831212062,0.6630345954780714,0.22731198764313476
28,4,0.9367123287671212,0.791058394160584,6936,8531.0,10.933238636363637,10.95529197080292,0.0364963503649635,8768,8448,8768,320,0,1040,472,0,0.8781003653143626,0.664143537987104,0.21395682732725863
28,5,0.9320547945205456,0.7969018932874354,6945,8479.0,9.94306049822064,9.944922547332187,0.03270223752151463,8715,8430,8715,285,0,985,500,0,0.8755980861244019,0.6901865369018654,0.18541154922253655
