policy,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay,no_offer_rate,booked_rate
Class-1-first backfill reservation,5104,2,9220,9220,0,9220,0,1213,0,8007,2.32765726681128,2.32765726681128,0.8684381778741865,0.6855308219178082,0.0,21461.0,21461.0,0.0,1.0
Class-1-first backfill reservation,5105,1,9101,6844,2257,9101,0,3196,572,3076,7.432057276446523,8.09954950005494,0.33798483683111746,0.26335616438356163,0.2479947258543017,50865.0,73714.0,0.0,0.7520052741456983
Class-1-first backfill reservation,5105,2,9237,9237,0,9237,0,1225,0,8012,2.3947168994262205,2.3947168994262205,0.8673811843672188,0.685958904109589,0.0,22120.0,22120.0,0.0,1.0
Class-1-first backfill reservation,5106,1,9219,6887,2332,9219,0,3234,567,3086,7.438507332655728,8.111400368803558,0.3347434645840113,0.2642123287671233,0.2529558520446903,51229.0,74779.0,0.0,0.7470441479553097
Class-1-first backfill reservation,5106,2,9173,9173,0,9173,0,1131,0,8042,2.257603837348741,2.257603837348741,0.8767033685817072,0.688527397260274,0.0,20709.0,20709.0,0.0,1.0
Class-1-first backfill reservation,5107,1,9019,6776,2243,9019,0,3125,620,3031,7.417060212514758,8.084155671360461,0.33606830025501716,0.25950342465753423,0.24869719481095465,50258.0,72911.0,0.0,0.7513028051890454
Class-1-first backfill reservation,5107,2,9220,9220,0,9220,0,1178,0,8042,2.3003253796095446,2.3003253796095446,0.872234273318872,0.688527397260274,0.0,21209.0,21209.0,0.0,1.0
Class-1-first backfill reservation,5108,1,9146,6862,2284,9146,0,3209,542,3111,7.434712911687555,8.101793133610322,0.34014869888475835,0.2663527397260274,0.24972665646184125,51017.0,74099.0,0.0,0.7502733435381588
Class-1-first backfill reservation,5108,2,9042,9042,0,9042,0,1030,0,8012,2.127847821278478,2.127847821278478,0.8860871488608715,0.685958904109589,0.0,19240.0,19240.0,0.0,1.0
Class-1-first backfill reservation,5109,1,8943,6843,2100,8943,0,3203,550,3090,7.375858541575332,8.01710835290171,0.3455216370345522,0.2645547945205479,0.23482053002348205,50473.0,71697.0,0.0,0.765179469976518
Class-1-first backfill reservation,5109,2,9242,9242,0,9242,0,1215,0,8027,2.406730144990262,2.406730144990262,0.8685349491452067,0.6872431506849315,0.0,22243.0,22243.0,0.0,1.0
