config,label,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
+noshow,+No-show gap,5,0.9287671232876686,0.7853152434158021,6888,8442.0,10.314775663612872,10.32242617717478,0.029301105917227226,8771,8514,8771,257,0,1102,524,0,0.8411124076234928,0.706255166712593,0.1348572409108998
+noshow,+No-show gap,6,0.9341095890410935,0.7972408996058428,6877,8484.0,9.660933954377164,9.660329237189892,0.029329932761418966,8626,8373,8626,253,0,1011,485,0,0.8448864777978702,0.7322554124417648,0.11263106535610534
+noshow,+No-show gap,7,0.9368493150684905,0.7947683798110163,6897,8532.0,10.23226571767497,10.234961972804793,0.028578013367135283,8678,8430,8678,248,0,1071,462,0,0.8439091265178221,0.7245240761478163,0.1193850503700058
+noshow,+No-show gap,8,0.9334246575342444,0.7838790359254206,6895,8481.0,10.739948271808135,10.7399954524784,0.032969531605275125,8796,8506,8796,290,0,1106,505,0,0.835053592695514,0.7152740819584885,0.11977951073702553
+noshow,+No-show gap,9,0.9339726027397235,0.7844543074997155,6893,8506.0,10.515361163227016,10.513258222373961,0.029475361329236373,8787,8528,8787,259,0,1150,485,0,0.8325536062378167,0.7169811320754716,0.11557247416234506
+noshow,+No-show gap,10,0.9252054794520529,0.7758189262966333,6821,8432.0,10.632875747976065,10.617834394904458,0.03059599636032757,8792,8523,8792,269,0,1147,555,0,0.8306847164999019,0.7001353179972937,0.13054939850260827
+noshow,+No-show gap,11,0.9338356164383539,0.7884288145207033,6950,8500.0,10.37194908326521,10.377538287010777,0.028587634713556437,8815,8563,8815,252,0,1126,487,0,0.8321310196919477,0.7276180141074335,0.10451300558451415
+noshow,+No-show gap,12,0.9323287671232855,0.7843785632839224,6879,8490.0,10.619882352941177,10.615507411630558,0.03078677309007982,8770,8500,8770,270,0,1122,499,0,0.8366699702675917,0.7135570469798658,0.12311292328772594
+noshow,+No-show gap,13,0.9352054794520526,0.7916185638420689,6857,8488.0,10.180791631998098,10.178018933271762,0.028746247979681366,8662,8413,8662,249,0,1085,471,0,0.8393945350894437,0.7236363636363636,0.1157581714530801
+noshow,+No-show gap,14,0.9328767123287648,0.7863569069582053,6905,8485.0,10.605797441614834,10.60938389705045,0.02960938389705045,8781,8521,8781,260,0,1118,498,0,0.8323563892145369,0.7220857220857221,0.11027066712881484
