comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_horizon_only,10,0.0011986301369861009,-5.496575342474852e-05,0.00249315068493119,inconclusive,0.09026625715588546,0.08918463106757686,0.09146057815436598,supported,BG00027,release
both_flexible_vs_baseline,10,0.0002876712328767184,0.0,0.0008630136986301551,inconclusive,0.00027265435269263616,0.0,0.0008179630580779085,inconclusive,BG00028,release
both_flexible_vs_reservation_only,10,0.0002876712328767184,0.0,0.0008630136986301551,inconclusive,0.00027265435269263616,0.0,0.0008179630580779085,inconclusive,BG00028,release
both_flexible_vs_horizon_only,10,0.0002876712328767184,0.0,0.0008630136986301551,inconclusive,0.00027265435269263616,0.0,0.0008179630580779085,inconclusive,BG00028,release
both_flexible_vs_baseline,10,0.00047488584474888464,-0.0033059360730592906,0.004274200913241969,inconclusive,0.0011405149188805307,-0.0010342231213568563,0.0034961188971365654,inconclusive,BG00029,release
both_flexible_vs_reservation_only,10,0.0010593607305936837,-0.004210273972602883,0.005698858447488756,inconclusive,0.0007616099692768996,-0.0008821736951086001,0.002520692200667471,inconclusive,BG00029,release
both_flexible_vs_horizon_only,10,0.00047488584474888464,-0.003351598173515959,0.004164611872146216,inconclusive,0.0011405149188805307,-0.0010238133290639642,0.0034861692575006305,inconclusive,BG00029,release
both_flexible_vs_baseline,10,-0.0008036529680365389,-0.001908675799086801,4.634703196344208e-05,inconclusive,0.00031308420111987313,-0.0003217365165119493,0.0013166764443118483,inconclusive,BG00030,release
both_flexible_vs_reservation_only,10,-0.0008036529680365389,-0.0018904109589041318,7.305936073059849e-05,inconclusive,0.00031308420111987313,-0.0003161260470335603,0.0013316688495280907,inconclusive,BG00030,release
both_flexible_vs_horizon_only,10,-0.0008036529680365389,-0.001954337899543358,7.305936073059849e-05,inconclusive,0.00031308420111987313,-0.000319612068102664,0.0013166764443118483,inconclusive,BG00030,release
both_flexible_vs_baseline,10,0.0025753424657534605,0.00036986301369876294,0.005014041095890414,inconclusive,0.1112545398592677,0.10717695729851126,0.1145494304573337,supported,BG00031,release
both_flexible_vs_reservation_only,10,-0.0017671232876710242,-0.004205479452054695,0.0007534246575343334,inconclusive,0.0007610768693153358,-0.0026254319070495684,0.003752533473977154,inconclusive,BG00031,release
both_flexible_vs_horizon_only,10,0.002835616438356303,0.0009589041095891079,0.004547945205479768,inconclusive,0.0774905895267442,0.0735465959145281,0.08157867947621618,supported,BG00031,release
both_flexible_vs_baseline,10,-0.00019178082191768643,-0.00071780821917793,0.00030684931506838185,inconclusive,0.0004511088992482981,-0.0011241764380276026,0.002128741307452517,inconclusive,BG00032,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00032,release
both_flexible_vs_horizon_only,10,-0.00019178082191768643,-0.0007123287671231953,0.000334246575342437,inconclusive,0.0004511088992482981,-0.0011168897921419625,0.0021333513135583077,inconclusive,BG00032,release
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00033,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00033,release
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00033,release
