class1_xi_high,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.1,36,0.8944349315068493,0.288061306061692,10450,11616.0,8.071263778518329,9.006753590429197,0.3547978057722524,36277,23406,36277,12871,0,11718,1223,15
0.1,37,0.8940924657534246,0.28366077008776935,10439,11629.0,8.382881355932204,9.364256406075922,0.35871307844895517,36801,23600,36801,13201,0,11927,1221,13
0.1,38,0.8940924657534246,0.28375616535411613,10413,11622.0,8.384599003364709,9.362018693626181,0.3601929313022863,36697,23479,36697,13218,0,11816,1246,4
0.1,39,0.8922089041095891,0.2851241930189299,10423,11606.0,8.360324747088328,9.318907976802713,0.3564394353868038,36556,23526,36556,13030,0,11841,1253,9
0.1,40,0.8913527397260274,0.2842326482709681,10414,11593.0,8.42068877224427,9.39943775758072,0.36043560140833536,36639,23433,36639,13206,0,11740,1259,20
0.1,41,0.8944349315068493,0.2857456140350877,10424,11625.0,8.2776740237691,9.236842105263158,0.3541666666666667,36480,23560,36480,12920,0,11884,1238,14
0.1,42,0.8941780821917809,0.2883606647893545,10445,11633.0,8.240453102205441,9.20214234443156,0.3565788747170228,36222,23306,36222,12916,0,11640,1216,5
0.1,43,0.8946061643835617,0.2864836644409639,10426,11631.0,8.36220071319409,9.313109663946364,0.352732668370291,36393,23556,36393,12837,0,11877,1226,27
0.1,44,0.895804794520548,0.2857767096351322,10464,11644.0,8.272516346762286,9.232220887043916,0.3526054183963295,36616,23705,36616,12911,0,12014,1220,7
0.1,45,0.885445205479452,0.2828418230563003,10339,11526.0,8.403370690392677,9.368413853477048,0.36045302839634513,36554,23378,36554,13176,0,11683,1331,25
0.1,46,0.8982876712328767,0.2881383900332774,10477,11673.0,8.31191494768944,9.274002365171475,0.3507054261433954,36361,23609,36361,12752,0,11935,1184,13
0.1,47,0.8940068493150685,0.2855773181755924,10425,11630.0,8.318397425038116,9.279824681550473,0.3531844952746199,36505,23612,36505,12893,0,11933,1233,21
0.1,48,0.8964897260273973,0.2839244462562848,10447,11660.0,8.493397663788725,9.469058295964125,0.357847533632287,36795,23628,36795,13167,0,11958,1214,9
0.1,49,0.8940924657534246,0.28623446312215955,10455,11640.0,8.296247447243022,9.260964792202815,0.3565131687017467,36526,23504,36526,13022,0,11813,1221,15
0.1,50,0.8941780821917809,0.28518841686208213,10459,11621.0,8.29129587253157,9.25710312482958,0.3565468724436931,36674,23598,36674,13076,0,11895,1237,7
0.1,51,0.891695205479452,0.2854713513810033,10408,11592.0,8.371081986681936,9.332647631586164,0.35332839628075374,36459,23577,36459,12882,0,11881,1267,21
0.1,52,0.8952054794520548,0.28655291600373073,10446,11638.0,8.385363357215967,9.353431722170406,0.3567784056619301,36454,23448,36454,13006,0,11781,1213,8
0.1,53,0.8910958904109589,0.2845759973713754,10393,11588.0,8.436068904219749,9.398975931655759,0.3530571452041291,36521,23627,36521,12894,0,11942,1279,13
0.1,54,0.8910102739726027,0.28537619021410093,10370,11577.0,8.28230114972005,9.22692498211239,0.3561285706423028,36338,23397,36338,12941,0,11728,1277,22
0.1,55,0.8904965753424657,0.2863086545614857,10391,11579.0,8.263566221919094,9.207450472542915,0.35362191056126524,36293,23459,36293,12834,0,11795,1268,5
0.1,56,0.8941780821917809,0.2849494673586452,10432,11627.0,8.340553856608903,9.314640808522261,0.3568970226714013,36610,23544,36610,13066,0,11879,1221,12
0.1,57,0.8912671232876712,0.2848253933446631,10391,11588.0,8.350006358357,9.316183323282715,0.3533523381393564,36482,23591,36482,12891,0,11909,1271,20
0.1,58,0.8924657534246575,0.28586706153339914,10425,11596.0,8.337129551227774,9.291652956016234,0.3523088735329604,36468,23620,36468,12848,0,11931,1249,15
0.1,59,0.897431506849315,0.2865156241449133,10471,11669.0,8.356836062088028,9.329475181962458,0.3565643298856236,36546,23515,36546,13031,0,11843,1191,10
0.1,60,0.8982876712328767,0.28618959310570524,10494,11684.0,8.369389225617768,9.341878477146286,0.3565779426202684,36668,23593,36668,13075,0,11895,1189,15
0.1,61,0.8940068493150685,0.28245846996016366,10423,11623.0,8.407668724539079,9.381561475298772,0.35473293406682743,36901,23811,36901,13090,0,12142,1231,15
0.1,62,0.8970034246575342,0.2869839528185434,10462,11669.0,8.33343286128647,9.297846660266082,0.3569057742422164,36455,23444,36455,13011,0,11771,1197,14
