study,w1,c,gamma,served_rate_min,best Q,strict beats FCFS?,binding constraint or main failure mode,mean strict-minus-FCFS objective
B: wait-adjusted,3.0,0.02,0.0,0.65,24,False,service-rate guardrail,0.4769349315068493
B: wait-adjusted,3.0,0.02,0.0,0.7,24,False,service-rate guardrail,0.4769349315068493
B: wait-adjusted,3.0,0.02,0.02,0.45,16,True,none,0.06368271395360248
B: wait-adjusted,3.0,0.02,0.02,0.55,12,True,none,0.006371815534335701
B: wait-adjusted,3.0,0.02,0.02,0.65,24,False,service-rate guardrail,0.4799134506911387
B: wait-adjusted,3.0,0.02,0.02,0.7,24,False,service-rate guardrail,0.4799134506911387
B: wait-adjusted,3.0,0.02,0.05,0.45,16,True,none,0.06430096296619774
B: wait-adjusted,3.0,0.02,0.05,0.55,12,True,none,0.006503168972825035
B: wait-adjusted,3.0,0.02,0.05,0.65,24,False,service-rate guardrail,0.4843812294675727
B: wait-adjusted,3.0,0.02,0.05,0.7,24,False,service-rate guardrail,0.4843812294675727
B: wait-adjusted,3.0,0.02,0.1,0.45,16,True,none,0.0653313779871898
B: wait-adjusted,3.0,0.02,0.1,0.55,12,True,none,0.006722091370307303
B: wait-adjusted,3.0,0.02,0.1,0.65,24,False,service-rate guardrail,0.49182752742829583
B: wait-adjusted,3.0,0.02,0.1,0.7,24,False,service-rate guardrail,0.49182752742829583
B: wait-adjusted,3.0,0.05,0.0,0.45,16,True,none,0.04827054794520551
B: wait-adjusted,3.0,0.05,0.0,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,3.0,0.05,0.0,0.65,24,False,service-rate guardrail,0.4544349315068493
B: wait-adjusted,3.0,0.05,0.0,0.7,24,False,service-rate guardrail,0.4544349315068493
B: wait-adjusted,3.0,0.05,0.02,0.45,16,True,none,0.04868271395360235
B: wait-adjusted,3.0,0.05,0.02,0.55,0,False,objective does not beat FCFS,0.0
B: wait-adjusted,3.0,0.05,0.02,0.65,24,False,service-rate guardrail,0.45741345069113876
B: wait-adjusted,3.0,0.05,0.02,0.7,24,False,service-rate guardrail,0.45741345069113876
B: wait-adjusted,3.0,0.05,0.05,0.45,16,True,none,0.04930096296619761
