comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_reservation_only,10,-0.014986301369863031,-0.016726369863013686,-0.013383219178082242,contradicted,0.02674827689043798,0.02523564497778992,0.02852197889350749,supported,BG00047,strict
both_flexible_vs_horizon_only,10,0.0008219178082192191,-0.0013023972602738939,0.0026852739726028123,inconclusive,0.0015874084932814615,-0.0011713686563970163,0.004439494216781939,inconclusive,BG00047,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00048,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00048,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00048,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00049,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00049,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00049,strict
both_flexible_vs_baseline,10,-0.03463698630136972,-0.03644537671232874,-0.03285616438356152,contradicted,0.06050082526296109,0.05721043419773785,0.06441595083089435,supported,BG00050,strict
both_flexible_vs_reservation_only,10,0.021910958904109656,0.019691780821917932,0.024178082191780866,supported,0.002203190140864386,-0.0007213362501281844,0.004891358733776733,inconclusive,BG00050,strict
both_flexible_vs_horizon_only,10,-0.03463698630136972,-0.03642465753424649,-0.032924486301369446,contradicted,0.06050082526296109,0.0570983972093182,0.06447269377837052,supported,BG00050,strict
both_flexible_vs_baseline,10,0.0006484018264839686,-0.0006027397260271572,0.002246575342465418,inconclusive,0.0016964791313151984,-0.0003052717340968347,0.00442251847815239,inconclusive,BG00051,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00051,strict
both_flexible_vs_horizon_only,10,0.0006484018264839686,-0.0005662100456618635,0.0022376712328763186,inconclusive,0.0016964791313151984,-0.0002873237105034548,0.004362786899225687,inconclusive,BG00051,strict
both_flexible_vs_baseline,10,0.00011643835616441667,-0.003417979452054767,0.0034113013698632835,inconclusive,0.001581894782128368,0.00047131761694967387,0.0028568865425744228,inconclusive,BG00052,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00052,strict
both_flexible_vs_horizon_only,10,0.00011643835616441667,-0.003349486301369928,0.0036029109589042155,inconclusive,0.001581894782128368,0.0004790037517350149,0.0029101752423490446,inconclusive,BG00052,strict
both_flexible_vs_baseline,10,-0.0013242009132417131,-0.003917808219177818,0.0011598173515986816,inconclusive,0.0026034320504401574,-0.00045027283569714526,0.005889883398467436,inconclusive,BG00053,strict
both_flexible_vs_reservation_only,10,-0.0008219178082189971,-0.004091324200912886,0.0021646118721466395,inconclusive,0.0014645885813882598,-0.0017154516302894738,0.004607624356322373,inconclusive,BG00053,strict
both_flexible_vs_horizon_only,10,-0.0013242009132417131,-0.003908675799086359,0.0012054794520554143,inconclusive,0.0026034320504401574,-0.00041739344497734046,0.005934092360501788,inconclusive,BG00053,strict
both_flexible_vs_baseline,10,0.012509589041096059,0.010766986301370077,0.014410958904109414,supported,0.013075050379410296,0.011660982300087849,0.01427857805305004,supported,BG00054,strict
both_flexible_vs_reservation_only,10,0.011687671232876872,0.00958904109589069,0.013830136986301169,supported,0.012103457875922818,0.010420374447010139,0.01375872191620908,supported,BG00054,strict
both_flexible_vs_horizon_only,10,0.0007780821917811153,-0.002323561643835238,0.003890410958904305,inconclusive,0.002149382726904475,0.0002578838865033573,0.004114431064637212,inconclusive,BG00054,strict
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00055,strict
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00055,strict
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00055,strict
both_flexible_vs_baseline,10,-0.014191780821917499,-0.01665753424657476,-0.011739726027397077,contradicted,0.025408395035184484,0.019647523286678438,0.030855880237074994,supported,BG00056,strict
