class1_low_balk,class_id,mean,std,n,se,ci95,metric
0.3,2,0.4711498287671233,0.004775448322369553,100,0.0004775448322369553,0.0009359878711844323,slot_utilization
0.35,1,0.3578690068493151,0.004702446529450782,100,0.0004702446529450782,0.0009216795197723532,slot_utilization
0.35,2,0.4825659246575343,0.004875236273080723,100,0.00048752362730807226,0.0009555463095238217,slot_utilization
0.4,1,0.34616866438356164,0.0048276607572085165,100,0.00048276607572085166,0.0009462215084128692,slot_utilization
0.4,2,0.49419006849315067,0.005144778405982628,100,0.0005144778405982628,0.001008376567572595,slot_utilization
0.45,1,0.3342551369863013,0.004530796476691563,100,0.0004530796476691563,0.0008880361094315463,slot_utilization
0.45,2,0.5062688356164383,0.004728394072248296,100,0.0004728394072248296,0.0009267652381606661,slot_utilization
0.5,1,0.31971746575342463,0.004387904162309617,100,0.0004387904162309617,0.0008600292158126849,slot_utilization
0.5,2,0.5209717465753425,0.004724239388172559,100,0.0004724239388172559,0.0009259509200818215,slot_utilization
0.0,1,0.3558386361080537,0.0035465395892451653,100,0.00035465395892451653,0.0006951217594920524,balking_rate
0.0,2,0.3556394154774364,0.003810446989646798,100,0.0003810446989646798,0.0007468476099707724,balking_rate
0.05,1,0.36707940060290944,0.003875389410528059,100,0.0003875389410528059,0.0007595763244634995,balking_rate
