class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
3,29,2,18329,12610,5719,18329,0,6054,1008,5548,7.673988897700238,8.508920290250423,0.30268972666266575,0.475,0.31201920453925475,96769.0,155960.0
3,30,1,18321,10150,8171,18321,0,4910,893,4344,8.081083743842365,8.62174553790732,0.2371049615195677,0.3719178082191781,0.4459909393592053,82023.0,157959.0
3,30,2,18249,12387,5862,18249,0,5953,1032,5398,7.784612900621619,8.637788371965588,0.2957970299742452,0.46215753424657535,0.3212230807167516,96428.0,157631.0
3,31,1,18220,10014,8206,18220,0,4873,824,4317,8.02087078090673,8.5884193194292,0.23693743139407245,0.36960616438356164,0.45038419319429196,80321.0,156481.0
3,31,2,18117,12473,5644,18117,0,5945,987,5540,7.7444880942836525,8.570734669095325,0.3057901418557156,0.4743150684931507,0.3115306066125738,96597.0,155276.0
3,32,1,17961,9972,7989,17961,0,4838,839,4289,7.929502607300441,8.484661210400311,0.2387951673069428,0.36720890410958906,0.44479706029731086,79073.0,152393.0
3,32,2,18164,12560,5604,18164,0,6007,1038,5514,7.661624203821656,8.47676723188725,0.3035674961462233,0.4720890410958904,0.30852235190486677,96230.0,153972.0
3,33,1,18210,9860,8350,18210,0,4831,807,4222,7.987322515212981,8.552718286655685,0.23185063152114224,0.36147260273972603,0.4585392641405821,78755.0,155745.0
3,33,2,18369,12701,5668,18369,0,6045,989,5667,7.700889693724903,8.529206815831019,0.30850890086558874,0.48518835616438355,0.3085633404104742,97809.0,156673.0
3,34,1,18415,10067,8348,18415,0,4956,837,4274,8.135988874540578,8.671300570187347,0.23209340211783872,0.3659246575342466,0.45332609285908226,81905.0,159682.0
3,34,2,18249,12414,5835,18249,0,5847,1079,5488,7.78620911873691,8.642336566387199,0.300728807057921,0.46986301369863015,0.31974354759164886,96658.0,157714.0
3,35,1,18252,9983,8269,18252,0,4892,828,4263,7.982269858759892,8.562294543063773,0.23356344510190663,0.36498287671232876,0.45304624150777995,79687.0,156279.0
3,35,2,18207,12528,5679,18207,0,5927,1017,5582,7.697078544061303,8.526445872466633,0.3065853792497391,0.47791095890410956,0.31191300049431536,96429.0,155241.0
3,36,1,17999,9891,8108,17999,0,4851,809,4228,7.871499342836922,8.44235790877271,0.2349019389966109,0.36198630136986304,0.45046947052614034,77857.0,151954.0
3,36,2,18258,12747,5511,18258,0,6097,1042,5605,7.635129834470856,8.43997151933399,0.30698871727461935,0.4798801369863014,0.301840289188301,97325.0,154097.0
3,37,1,18079,9957,8122,18079,0,4832,827,4293,7.9644471226272975,8.517506499253278,0.23745782399468998,0.3675513698630137,0.4492505116433431,79302.0,153988.0
3,37,2,18345,12550,5795,18345,0,5978,996,5574,7.6647808764940235,8.503461433633143,0.30384300899427635,0.4772260273972603,0.31588988825292996,96193.0,155996.0
3,38,1,18335,10171,8164,18335,0,4965,829,4376,7.962048962737194,8.535587673847832,0.2386692118898282,0.37465753424657533,0.4452686119443687,80982.0,156500.0
3,38,2,18254,12344,5910,18254,0,5866,1016,5460,7.7489468567725215,8.598827654212775,0.2991125232825682,0.4674657534246575,0.3237646543223403,95653.0,156963.0
3,39,1,18228,10037,8191,18228,0,4857,805,4375,7.95805519577563,8.573897300855826,0.24001536098310292,0.3745719178082192,0.44936361641430767,79875.0,156285.0
3,39,2,18202,12438,5764,18202,0,5950,1057,5431,7.760492040520984,8.588616635534557,0.29837380507636524,0.46498287671232874,0.3166684979672563,96525.0,156330.0
3,40,1,18352,10002,8350,18352,0,4852,853,4292,7.999900019996001,8.55241935483871,0.23387096774193547,0.36746575342465754,0.45499128160418484,80015.0,156954.0
3,40,2,18106,12407,5699,18106,0,5861,1033,5510,7.726041750624647,8.561139953606538,0.30431901027283775,0.4717465753424658,0.31475753893736885,95857.0,155008.0
3,41,1,18355,10005,8350,18355,0,4788,810,4404,7.915542228885557,8.487387632797603,0.23993462271860527,0.37705479452054796,0.4549169163715609,79195.0,155786.0
