class1_high_balk,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced
0.0,41,1,18143,15463,0,15463,2680,8839,1167,5432,9.939015714932419,9.939015714932419,0.29939921732899744
0.0,41,2,18250,10331,5153,15484,2766,5284,682,4357,8.656374019939987,9.948269181090158,0.23873972602739726
0.0,42,1,18335,15442,0,15442,2893,8838,1171,5408,9.985753140784873,9.985753140784873,0.2949550040905372
0.0,42,2,18140,10200,4963,15163,2977,5115,741,4336,8.690686274509805,9.940249291037393,0.2390297684674752
0.0,43,1,18362,15363,0,15363,2999,8760,1114,5468,9.903469374471133,9.903469374471133,0.29778891188323714
0.0,43,2,18208,10343,4930,15273,2935,5258,717,4354,8.702310741564343,9.934983303869574,0.2391256590509666
0.0,44,1,18532,15613,0,15613,2919,9019,1181,5394,9.890347787100493,9.890347787100493,0.2910641053313188
0.0,44,2,18013,10297,4860,15157,2856,5211,708,4364,8.662037486646597,9.895757735699677,0.24226947204796537
0.0,45,1,18145,15267,0,15267,2878,8756,1185,5307,9.991812405842667,9.991812405842667,0.2924772664645908
0.0,45,2,18078,10310,4934,15244,2834,5134,679,4481,8.70552861299709,9.936434006822356,0.24787033963934063
0.0,46,1,17969,15290,0,15290,2679,8707,1126,5434,9.93943754087639,9.93943754087639,0.30240970560409597
0.0,46,2,18221,10375,5149,15524,2697,5268,754,4345,8.790746987951808,10.026153053336769,0.2384611162943856
0.0,47,1,18050,15318,0,15318,2732,8747,1149,5399,9.922248335291814,9.922248335291814,0.29911357340720224
0.0,47,2,18431,10458,5128,15586,2845,5338,683,4425,8.681774717919296,9.939176183754652,0.24008464000868102
0.0,48,1,18206,15319,0,15319,2887,8672,1168,5456,9.951498139565246,9.951498139565246,0.2996814237064704
0.0,48,2,18156,10221,4960,15181,2975,5198,690,4323,8.64533802954701,9.913576180752257,0.23810310641110377
0.0,49,1,18211,15267,0,15267,2944,8739,1140,5357,9.976419728826881,9.976419728826881,0.29416286859590357
0.0,49,2,18397,10441,5034,15475,2922,5292,683,4453,8.696101905947707,9.932407108239095,0.24205033429363484
0.0,50,1,18429,15505,0,15505,2924,8885,1175,5420,9.926539825862625,9.926539825862625,0.2941016875576537
0.0,50,2,18366,10254,5049,15303,3063,5185,701,4353,8.67047006046421,9.940599882376004,0.2370140476968311
0.0,51,1,18185,15258,0,15258,2927,8693,1133,5399,9.982894219425875,9.982894219425875,0.2968930437173495
0.0,51,2,18291,10196,5133,15329,2962,5077,734,4377,8.684778344448803,9.977167460369234,0.2392980154174184
0.0,52,1,18336,15381,0,15381,2955,8736,1131,5488,9.911644236395553,9.911644236395553,0.29930191972076786
0.0,52,2,18102,10273,4943,15216,2886,5239,685,4342,8.700671663584153,9.948015247108307,0.2398629985636946
0.0,53,1,18038,15267,0,15267,2771,8732,1127,5389,9.945241370275758,9.945241370275758,0.2987581771815057
0.0,53,2,18193,10371,5081,15452,2741,5193,679,4487,8.666473821232282,9.933018379497799,0.24663332050788764
0.0,54,1,18289,15274,0,15274,3015,8710,1207,5335,9.959670027497708,9.959670027497708,0.2917053966865329
0.0,54,2,18288,10331,4978,15309,2979,5220,744,4356,8.718710676604395,9.960546084002875,0.23818897637795275
0.0,55,1,18038,15297,0,15297,2741,8666,1123,5482,9.930443877884553,9.930443877884553,0.30391395941900434
0.0,55,2,18273,10405,5134,15539,2734,5376,684,4334,8.702931283037001,9.968080314048523,0.2371805395939364
0.0,56,1,18246,15459,0,15459,2787,8898,1163,5376,9.924509994178148,9.924509994178148,0.29463992107859255
0.0,56,2,18247,10258,5100,15358,2889,5127,698,4420,8.64427763696627,9.931306159656206,0.24223159971502164
0.0,57,1,18249,15299,0,15299,2950,8748,1162,5370,10.000261454997059,10.000261454997059,0.2942626993259905
0.0,57,2,18261,10269,5084,15353,2908,5159,707,4392,8.669685461096504,9.937992574741093,0.2405125677673731
0.0,58,1,18250,15399,0,15399,2851,8762,1100,5516,9.897266056237418,9.897266056237418,0.30224657534246574
0.0,58,2,18237,10274,5083,15357,2880,5217,673,4370,8.750827331127118,10.004362831282151,0.23962274496901903
0.0,59,1,18406,15486,0,15486,2920,8925,1056,5477,9.934844375565026,9.934844375565026,0.2975660110833424
0.0,59,2,18409,10406,5072,15478,2931,5278,709,4412,8.662118008841054,9.927574622044192,0.23966538106361018
0.0,60,1,18242,15382,0,15382,2860,8792,1156,5415,9.978611363931869,9.978611363931869,0.29684245148558275
0.0,60,2,18262,10269,5110,15379,2883,5180,701,4377,8.695588664913819,9.958059691787502,0.23967801993209945
0.0,61,1,18064,15378,0,15378,2686,8850,1118,5385,9.967486018988165,9.967486018988165,0.29810673162090345
0.0,61,2,18065,10388,5032,15420,2645,5218,700,4460,8.603677319984598,9.883722438391699,0.2468862441184611
0.0,62,1,18240,15423,0,15423,2817,8798,1151,5460,9.874213836477987,9.874213836477987,0.2993421052631579
0.0,62,2,18261,10302,5116,15418,2843,5268,678,4348,8.729275868763347,9.989298222856402,0.2381030611686107
0.0,63,1,18106,15197,0,15197,2909,8582,1191,5403,9.986905310258603,9.986905310258603,0.29840936706064286
0.0,63,2,18326,10308,5016,15324,3002,5252,694,4357,8.712068296468763,9.95510310623858,0.2377496453126705
0.0,64,1,18262,15288,0,15288,2974,8729,1176,5363,9.936616954474097,9.936616954474097,0.293669915671887
0.0,64,2,18458,10502,4988,15490,2968,5379,673,4443,8.706722529042088,9.928082633957391,0.24070863582186586
