sweep,point,low,high,step,label,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
fixed_step,1,0.0,0.3,0.3,b₁=0.30,49,1,18137,13829,3723,17552,585,7518,1028,5264,9.573721888784439,10.15975387420237,0.2902354303357777,0.4506849315068493,0.21211257976298997,132395.0,178324.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,49,2,18433,11467,6403,17870,563,6095,818,4544,9.021976105345775,10.212255176273084,0.24651440351543427,0.38904109589041097,0.3583100167879127,103455.0,182493.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,50,1,18315,13946,3658,17604,711,7775,995,5161,9.576867919116593,10.161383776414452,0.2817908817908818,0.4418664383561644,0.20779368325380596,133559.0,178881.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,50,2,18328,11538,6104,17642,686,6015,810,4693,8.960738429537182,10.141650606507199,0.25605630728939327,0.40179794520547946,0.3459925178551185,103389.0,178919.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,51,1,17942,13817,3677,17494,448,7543,1121,5128,9.5791416371137,10.155367554590145,0.2858098316798573,0.43904109589041096,0.21018634960557905,132355.0,177658.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,51,2,18150,11362,6296,17658,492,5942,799,4611,8.977644780848442,10.170404349303432,0.2540495867768595,0.394777397260274,0.3565522709253596,102004.0,179589.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,52,1,18151,13917,3687,17604,547,7748,1065,5089,9.565854710066825,10.132981140649852,0.280370227535673,0.43570205479452057,0.20944103612815268,133128.0,178381.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,52,2,18251,11422,6271,17693,558,5915,835,4660,8.965680266153038,10.147742044876505,0.2553284751520465,0.398972602739726,0.35443395693212004,102406.0,179544.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,53,1,18370,14097,3635,17732,638,7796,1008,5271,9.520039724764134,10.095364313106248,0.2869352204681546,0.45128424657534244,0.20499661628693885,134204.0,179011.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,53,2,18159,11315,6267,17582,577,5908,811,4580,8.959169244365887,10.168581503810715,0.25221653174734293,0.3921232876712329,0.3564440905471505,101373.0,178784.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,54,1,18437,13984,3741,17725,712,7772,1079,5114,9.642591533180777,10.21867418899859,0.2773770136139285,0.43784246575342467,0.21105782792665725,134842.0,181126.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,54,2,18432,11479,6235,17714,718,5997,756,4708,8.962801637773325,10.158292875691544,0.2554253472222222,0.40308219178082194,0.3519814835723157,102884.0,179944.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,55,1,18083,13935,3669,17604,479,7695,1077,5144,9.594259059921063,10.173710520336288,0.2844660731073384,0.4404109589041096,0.20841854124062714,133696.0,179098.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,55,2,18238,11428,6311,17739,499,5983,849,4580,9.01190059502975,10.207227013924122,0.2511240267573199,0.3921232876712329,0.355769772816957,102988.0,181066.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,56,1,18293,14028,3667,17695,598,7720,997,5287,9.606715141146278,10.176942639163606,0.2890176570272782,0.4526541095890411,0.20723368183102572,134763.0,180081.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,56,2,18279,11368,6250,17618,661,5986,815,4559,9.062016185784659,10.235157225564762,0.2494118934296187,0.3903253424657534,0.3547508230219094,103017.0,180323.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,57,1,18135,13815,3739,17554,581,7637,1031,5130,9.59247195077814,10.185086020280279,0.28287841191067,0.4392123287671233,0.21299988606585393,132520.0,178789.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,57,2,18267,11534,6131,17665,602,6045,847,4624,9.005375411825906,10.169770733088027,0.25313406689658946,0.3958904109589041,0.3470704783470139,103868.0,179649.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,58,1,18167,13807,3682,17489,678,7549,1043,5200,9.579778373288912,10.16907770598662,0.2862332801233005,0.4452054794520548,0.2105323346103265,132268.0,177847.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,58,2,18481,11571,6287,17858,623,6151,790,4622,9.013309134906232,10.196046589763691,0.25009469184567934,0.39571917808219176,0.35205510135513496,104293.0,182081.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,59,1,18128,13959,3667,17626,502,7825,1015,5105,9.534637151658428,10.101724724838308,0.28160856134157103,0.4370719178082192,0.20804493362078746,133094.0,178053.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,59,2,18287,11493,6328,17821,466,5954,836,4692,8.88358131036283,10.098759890017396,0.25657570952042436,0.40171232876712326,0.3550866954716346,102099.0,179970.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,60,1,18293,13930,3716,17646,647,7684,1098,5130,9.578894472361808,10.15776946616797,0.28043513912425516,0.4392123287671233,0.21058596849144282,133434.0,179244.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,60,2,18423,11431,6259,17690,733,6000,773,4645,8.947161228238999,10.144092707744488,0.25213048906258484,0.3976883561643836,0.35381571509327303,102275.0,179449.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,61,1,18305,13886,3755,17641,664,7636,1081,5154,9.567694080368717,10.152032197721217,0.2815624146408085,0.44126712328767126,0.21285641403548552,132857.0,179092.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,61,2,18365,11472,6225,17697,668,6037,847,4572,9.012465132496514,10.178448324574786,0.2489518105091206,0.39143835616438355,0.3517545346668927,103391.0,180128.0
fixed_step,1,0.0,0.3,0.3,b₁=0.30,62,1,18138,13827,3705,17532,606,7601,1026,5181,9.469154552686772,10.067134382842802,0.28564340059543497,0.4435787671232877,0.21132785763175907,130930.0,176497.0
