class1_no_show_threshold,class1_high_no_show,mean,std,n,se,ci95,metric
9,0.0,0.9204982876712329,0.0023804204301031417,50,0.0003366422856401859,0.0006598188798547643,average_utilization
9,0.1,0.9010273972602739,0.0028798037591236665,50,0.0004072657533125711,0.0007982408764926393,average_utilization
9,0.2,0.8819571917808219,0.0032264976246048,50,0.0004562956699680683,0.0008943395131374138,average_utilization
9,0.3,0.8629589041095891,0.003626163884072599,50,0.0005128170144242969,0.001005121348271622,average_utilization
9,0.4,0.8434623287671232,0.00413816536989862,50,0.0005852249589453303,0.0011470409195328474,average_utilization
9,0.5,0.8238527397260275,0.004175815849348115,50,0.0005905495408120629,0.0011574770999916433,average_utilization
9,0.6,0.8043116438356164,0.004325312555856387,50,0.0006116915677994738,0.0011989154728869686,average_utilization
9,0.7,0.7848801369863014,0.004595246243968664,50,0.0006498659560664508,0.0012737372738902436,average_utilization
9,0.8,0.7649845890410958,0.004629511867077595,50,0.0006547118469588324,0.0012832352200393114,average_utilization
9,0.9,0.745943493150685,0.004449664755446959,50,0.0006292776245166651,0.0012333841440526636,average_utilization
12,0.0,0.9204982876712329,0.0023804204301031417,50,0.0003366422856401859,0.0006598188798547643,average_utilization
12,0.1,0.920318493150685,0.0023631605663944825,50,0.0003342013723060362,0.0006550346897198309,average_utilization
12,0.2,0.9201489726027396,0.0023655756118264913,50,0.0003345429113064056,0.000655704106160555,average_utilization
12,0.3,0.9199948630136986,0.0023877067364636777,50,0.0003376727249676534,0.0006618385409366007,average_utilization
12,0.4,0.9198390410958903,0.0024222804709261793,50,0.00034256218938552905,0.0006714218911956369,average_utilization
12,0.5,0.9196746575342466,0.0024775387753020093,50,0.00035037689373373297,0.0006867387117181166,average_utilization
12,0.6,0.9195171232876713,0.002498699977167668,50,0.0003533695396011859,0.0006926042976183244,average_utilization
12,0.7,0.9193561643835616,0.002533238150239542,50,0.0003582539748789692,0.0007021777907627797,average_utilization
12,0.8,0.9191849315068494,0.0025786561585433715,50,0.0003646770512108942,0.0007147670203733526,average_utilization
12,0.9,0.9190565068493151,0.0026292830721511996,50,0.0003718367779954223,0.0007288000848710278,average_utilization
3,0.0,0.2939626728497289,0.0018902382404866484,50,0.00026732005558124743,0.0005239473089392449,overall_percent_serviced
3,0.1,0.2822902056060414,0.0018989793097336804,50,0.0002685562294491269,0.0005263702097202887,overall_percent_serviced
3,0.2,0.270724004692039,0.0019038117983068712,50,0.00026923964653714885,0.0005277097072128118,overall_percent_serviced
3,0.3,0.2591465802563461,0.001959894615987923,50,0.000277170954675213,0.0005432550711634175,overall_percent_serviced
3,0.4,0.24734783201192692,0.0020108721589823355,50,0.00028438026794312855,0.0005573853251685319,overall_percent_serviced
3,0.5,0.2355890794944125,0.002118374527518434,50,0.00029958339870022666,0.0005871834614524442,overall_percent_serviced
3,0.6,0.2239192437893992,0.0020716751505579782,50,0.0002929791094750416,0.0005742390545710815,overall_percent_serviced
3,0.7,0.21232411235152127,0.002066707609297347,50,0.0002922765930527984,0.0005728621223834848,overall_percent_serviced
3,0.8,0.20058332635582182,0.0020236580298535595,50,0.00028618846314241216,0.0005609293877591278,overall_percent_serviced
3,0.9,0.1890944406054913,0.0018317718731273769,50,0.00025905166261503044,0.0005077412587254597,overall_percent_serviced
6,0.0,0.2939626728497289,0.0018902382404866484,50,0.00026732005558124743,0.0005239473089392449,overall_percent_serviced
6,0.1,0.2854801889475907,0.0019333289787677704,50,0.0002734140062302306,0.000535891452211252,overall_percent_serviced
6,0.2,0.27708844880788996,0.0019656717617313663,50,0.00027798796646143133,0.0005448564142644054,overall_percent_serviced
6,0.3,0.26868478149746766,0.0020458483900155475,50,0.00028932665397191483,0.000567080241784953,overall_percent_serviced
6,0.4,0.2600917213742623,0.002170588380643559,50,0.0003069675526235575,0.0006016564031421726,overall_percent_serviced
6,0.5,0.25154227282390357,0.0022071096633824367,50,0.00031213244196001585,0.0006117795862416311,overall_percent_serviced
6,0.6,0.24301778866367113,0.0021541715734334703,50,0.0003046458654828203,0.0005971058963463278,overall_percent_serviced
6,0.7,0.23447847623992535,0.002209105114203722,50,0.0003124146413214668,0.000612332696990075,overall_percent_serviced
6,0.8,0.2258901796649919,0.0021659569825232274,50,0.0003063125740201053,0.0006003726450794064,overall_percent_serviced
