class1_cancel_prob,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked
0.05,34,0.8027397260273973,0.2581313731450521,9341,10456.0,9.796200991859267,10.804175118323192,0.3978476448050485,36187,21374,35496,14122,691,9667,2314,52
0.05,35,0.8117294520547945,0.2586853560379993,9449,10601.0,9.815287511022417,10.834960718294052,0.39542648709315376,36527,21547,35640,14093,887,9870,2189,39
0.05,36,0.8093321917808219,0.25900151285930406,9416,10529.0,9.745844330231051,10.766462867399596,0.3942954902400718,36355,21597,35656,14059,699,9925,2227,29
0.05,37,0.8117294520547945,0.25938323090430204,9454,10580.0,9.803758215310562,10.807320907253537,0.3934987648776106,36448,21606,35624,14018,824,9922,2193,37
0.05,38,0.8074486301369863,0.2572423054786636,9386,10516.0,9.801234166937318,10.803743859054718,0.3914676153368344,36487,21553,35418,13865,1069,9868,2251,48
0.05,39,0.805222602739726,0.25800942122806536,9366,10508.0,9.750278396436526,10.761065931282888,0.3935335002954667,36301,21552,35537,13985,764,9880,2266,40
0.05,40,0.8017979452054794,0.2560590673290698,9329,10469.0,9.871048600473472,10.851009957325747,0.38711237553342814,36433,21543,35150,13607,1283,9853,2316,45
0.05,41,0.8095034246575342,0.25764239857942905,9431,10556.0,9.754995132353622,10.774789963190873,0.39388575121526315,36605,21571,35589,14018,1016,9897,2202,41
0.05,42,0.8024828767123288,0.2579194260485651,9347,10457.0,9.78284917499419,10.787056189963447,0.39035448131251593,36240,21515,35291,13776,949,9826,2298,44
0.05,43,0.803082191780822,0.25622503146719205,9364,10472.0,9.811583475967987,10.830349626802851,0.3934283629833324,36546,21617,35638,14021,908,9916,2291,46
0.05,44,0.8055650684931507,0.25631285526891123,9379,10491.0,9.793567170386801,10.793273680962665,0.3930324535076155,36592,21639,35651,14012,941,9952,2264,44
0.05,45,0.8083047945205479,0.256958847287414,9416,10523.0,9.848327969777529,10.863769586292413,0.3957558336151505,36644,21441,35484,14043,1160,9756,2240,29
0.05,46,0.8033390410958904,0.2559347992560989,9358,10483.0,9.858369297879252,10.86420203949771,0.3946399977526196,36564,21549,35597,14048,967,9857,2294,40
